Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,53.330002,55.650002,53.000000,55.599998,44.057831,281100
2007-02-01,55.790001,56.060001,53.509998,54.000000,42.789967,495100
2007-03-01,53.099998,54.099998,51.990002,53.639999,42.504711,492400
2007-04-01,53.970001,60.000000,53.810001,57.689999,45.842571,250300
2007-05-01,57.570000,59.150002,57.230000,58.540001,46.517998,275100
2007-06-01,58.520000,58.709999,55.610001,55.990002,44.491684,318000
2007-07-01,56.450001,57.299999,52.410000,52.490002,41.806747,485100
2007-08-01,52.700001,54.369999,51.330002,53.570000,42.666931,314500
2007-09-01,53.490002,54.639999,52.660000,54.290001,43.240395,318100
2007-10-01,54.330002,56.029999,53.139999,55.290001,44.160946,231400
2007-11-01,54.980000,55.540001,52.169998,55.259998,44.136978,389800
2007-12-01,55.189999,56.500000,53.650002,53.790001,42.962856,758800
2008-01-01,53.750000,55.939999,50.000000,51.169998,40.959015,754200
2008-02-01,51.549999,53.810001,50.139999,50.369999,40.318653,508900
2008-03-01,50.220001,50.380001,46.619999,48.099998,38.501637,275800
2008-04-01,48.669998,50.389999,47.830002,49.220001,39.542728,248500
2008-05-01,49.369999,50.669998,47.880001,50.669998,40.707645,257700
2008-06-01,50.459999,50.630001,47.650002,48.410000,38.891987,1563100
2008-07-01,47.919998,52.240002,47.270000,50.430000,40.597118,1713600
2008-08-01,50.230000,54.009998,50.230000,51.880001,41.764393,3031500
2008-09-01,53.250000,53.250000,45.930000,49.009998,39.453976,547100
2008-10-01,48.599998,49.230000,36.439999,42.650002,34.527298,1061900
2008-11-01,43.740002,44.000000,35.900002,41.790001,33.831070,903100
2008-12-01,41.869999,45.060001,38.950001,45.060001,36.478313,877900
2009-01-01,45.330002,45.860001,42.110001,43.580002,35.429386,855000
2009-02-01,43.400002,46.419998,38.450001,38.450001,31.258831,861500
2009-03-01,37.750000,42.919998,35.570000,42.139999,34.258698,1320800
2009-04-01,42.189999,43.009998,40.099998,41.110001,33.608269,686800
2009-05-01,41.119999,44.180000,40.810001,44.060001,36.019955,1367000
2009-06-01,44.570000,46.900002,43.259998,46.340000,37.883907,695800
2009-07-01,46.540001,49.060001,43.930000,48.110001,39.517200,604900
2009-08-01,48.310001,50.599998,47.639999,49.759998,40.872517,822100
2009-09-01,49.520000,53.490002,48.919998,52.820000,43.385979,825200
2009-10-01,52.599998,54.750000,50.970001,51.029999,42.039299,885900
2009-11-01,51.060001,56.700001,51.060001,55.799999,45.968903,985800
2009-12-01,56.369999,58.820000,55.700001,57.660000,47.501190,1420400
2010-01-01,58.020000,60.799999,57.250000,57.250000,47.323475,1227600
2010-02-01,57.529999,58.680000,55.279999,57.759998,47.745052,766700
2010-03-01,57.889999,60.980000,57.660000,59.709999,49.356945,1348900
2010-04-01,60.220001,60.450001,57.840000,58.860001,48.807728,1397900
2010-05-01,59.180000,75.000000,30.080000,55.520000,46.038139,799300
2010-06-01,54.900002,57.490002,53.259998,54.720001,45.374775,682400
2010-07-01,54.630001,57.160000,53.160000,55.770000,46.429607,883900
2010-08-01,56.570000,58.939999,55.799999,55.959999,46.587772,435200
2010-09-01,56.709999,62.130001,56.660000,61.220001,50.966827,636000
2010-10-01,61.590000,64.360001,60.549999,63.360001,52.939388,256100
2010-11-01,63.650002,64.220001,60.810001,60.990002,50.959171,477900
2010-12-01,61.799999,65.120003,61.689999,64.040001,53.507549,380300
2011-01-01,64.419998,65.279999,62.990002,63.209999,53.024635,302000
2011-02-01,63.700001,65.440002,62.509998,64.400002,54.022911,297000
2011-03-01,64.639999,66.570000,62.150002,66.370003,55.675472,223700
2011-04-01,66.769997,72.489998,66.470001,71.980003,60.575974,905500
2011-05-01,72.550003,73.739998,70.930000,73.540001,61.888836,964000
2011-06-01,73.389999,73.500000,70.400002,73.389999,61.762554,594600
2011-07-01,73.379997,75.180000,70.500000,71.510002,60.369331,1265500
2011-08-01,71.970001,72.209999,61.119999,69.309998,58.512085,1086900
