Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2015,30,7/27/2015,6.002627689,6.002627689,5.9074,6.26947,48712,2920,4,0,2924
2015,31,8/3/2015,6.10732838,6.10732838,5.86348,6.2252,48319,2947,4,0,2951
2015,32,8/10/2015,5.916410725,5.916410725,5.83441,6.19579,48188,2843,8,0,2851
2015,33,8/17/2015,6.068421921,6.068421921,5.8205,6.18154,48464,2935,6,0,2941
2015,34,8/24/2015,5.999835113,5.999835113,5.82186,6.18254,48518,2906,5,0,2911
2015,35,8/31/2015,6.036551597,6.036551597,5.83833,6.19867,48753,2940,3,0,2943
2015,36,9/7/2015,6.048750512,6.048750512,5.86958,6.22957,48820,2950,3,0,2953
2015,37,9/14/2015,6.164998979,6.164998979,5.91505,6.27469,48970,3013,6,0,3019
2015,38,9/21/2015,6.20614124,6.20614124,5.97396,6.33325,49306,3052,8,0,3060
2015,39,9/28/2015,6.271477663,6.271477663,6.04535,6.4043,48888,3060,6,0,3066
2015,40,10/5/2015,6.30382026,6.30382026,6.1281,6.4867,51096,3207,14,0,3221
2015,41,10/12/2015,6.299212598,6.299212598,6.22089,6.57915,50038,3145,7,0,3152
2015,42,10/19/2015,6.368188513,6.368188513,6.32229,6.68021,50925,3227,16,0,3243
2015,43,10/26/2015,6.314997128,6.314997128,6.43073,6.7883,50483,3171,17,0,3188
2015,44,11/2/2015,6.594888229,6.594888229,6.54455,6.90177,51176,3355,20,0,3375
2015,45,11/9/2015,6.38817734,6.38817734,6.66201,7.01889,50750,3228,14,0,3242
2015,46,11/16/2015,6.506214777,6.506214777,6.78132,7.13785,51812,3358,13,0,3371
2015,47,11/23/2015,6.507807038,6.507807038,6.90067,7.25686,51492,3337,14,0,3351
2015,48,11/30/2015,6.689457814,6.689457814,7.01826,7.37411,52067,3461,22,0,3483
2015,49,12/7/2015,6.617428189,6.617428189,7.1323,7.48782,53752,3537,20,0,3557
2015,50,12/14/2015,6.711563481,6.711563481,7.24109,7.59626,52268,3482,26,0,3508
2015,51,12/21/2015,6.671302125,6.671302125,7.34296,7.69779,53213,3535,15,0,3550
2015,52,12/28/2015,7.519054226,7.519054226,7.43639,7.79089,52613,3925,31,0,3956
2016,1,1/4/2016,7.658020515,7.658020515,7.51996,7.87412,55863,4246,32,0,4278
2016,2,1/11/2016,7.759830198,7.759830198,7.5924,7.94622,55594,4284,30,0,4314
2016,3,1/18/2016,7.395067541,7.395067541,7.6526,8.00609,55226,4048,36,0,4084
2016,4,1/25/2016,7.484190859,7.484190859,7.69965,8.0528,55664,4116,50,0,4166
2016,5,2/1/2016,7.521128804,7.521128804,7.7328,8.08562,55138,4086,61,0,4147
2016,6,2/8/2016,7.363865849,7.363865849,7.75152,8.10401,55460,3991,93,0,4084
2016,7,2/15/2016,7.47730105,7.47730105,7.75551,8.10766,56170,4051,149,0,4200
2016,8,2/22/2016,8.005289759,8.005289759,7.74464,8.09646,55201,4232,187,0,4419
2016,9,2/29/2016,8.063795169,8.063795169,7.71902,8.07052,55929,4253,257,0,4510
2016,10,3/7/2016,8.150743402,8.150743402,7.67899,8.03016,56228,4288,295,0,4583
2016,11,3/14/2016,8.253485518,8.253485518,7.62506,7.97591,54583,4154,351,0,4505
2016,12,3/21/2016,8.189961869,8.189961869,7.55797,7.9085,54811,4194,295,0,4489
2016,13,3/28/2016,7.745356123,7.745356123,7.47864,7.82884,53942,3896,282,0,4178
2016,14,4/4/2016,7.758317767,7.758317767,7.38816,7.73805,54071,3945,250,0,4195
2016,15,4/11/2016,7.640109171,7.640109171,7.28779,7.63736,53494,3891,196,0,4087
2016,16,4/18/2016,7.208156202,7.208156202,7.17892,7.52818,53162,3684,148,0,3832
2016,17,4/25/2016,6.908770556,6.908770556,7.06308,7.41201,51080,3402,127,0,3529
2016,18,5/2/2016,6.813306813,6.813306813,6.94186,7.29049,51282,3403,91,0,3494
2016,19,5/9/2016,6.497402216,6.497402216,6.81697,7.16529,51005,3240,74,0,3314
2016,20,5/16/2016,6.586090747,6.586090747,6.69015,7.03815,50470,3290,34,0,3324
2016,21,5/23/2016,6.395199144,6.395199144,6.56315,6.91085,50491,3199,30,0,3229
2016,22,5/30/2016,6.119246862,6.119246862,6.43775,6.78515,49712,3025,17,0,3042
2016,23,6/6/2016,6.394615061,6.394615061,6.31568,6.66278,49917,3175,17,0,3192
2016,24,6/13/2016,5.886242061,5.886242061,6.19864,6.54544,49913,2920,18,0,2938
2016,25,6/20/2016,5.81988191,5.81988191,6.08824,6.43474,49623,2876,12,0,2888
2016,26,6/27/2016,5.87904247,5.87904247,5.98599,6.33219,49753,2915,10,0,2925
2016,27,7/4/2016,5.883063056,5.883063056,5.89329,6.2392,49702,2914,10,0,2924
2016,28,7/11/2016,5.906883978,5.906883978,5.8114,6.15702,49637,2926,6,0,2932
2016,29,7/18/2016,5.626915038,5.626915038,5.74141,6.08675,49281,2768,5,0,2773
2016,30,7/25/2016,5.652025192,5.652025192,5.68426,6.02931,49699,2804,5,0,2809
2016,31,8/1/2016,5.752373258,5.752373258,5.64068,5.98545,49510,2846,2,0,2848
2016,32,8/8/2016,5.687232374,5.687232374,5.61122,5.9557,49743,2827,2,0,2829
2016,33,8/15/2016,5.765678953,5.765678953,5.5962,5.94041,49812,2867,5,0,2872
2016,34,8/22/2016,5.721382987,5.721382987,5.59578,5.93971,49516,2827,6,0,2833
2016,35,8/29/2016,5.796107694,5.796107694,5.60985,5.95352,49585,2869,5,0,2874
2016,36,9/5/2016,5.762319304,5.762319304,5.63814,5.98154,50084,2881,5,0,2886
2016,37,9/12/2016,6.211441391,6.211441391,5.68015,6.02328,49924,3093,8,0,3101
2016,38,9/19/2016,6.065465333,6.065465333,5.73518,6.07805,49889,3017,9,0,3026
2016,39,9/26/2016,5.962399284,5.962399284,5.80237,6.14497,50265,2986,11,0,2997
2016,40,10/3/2016,5.920911867,5.920911867,5.88066,6.223,51411,3026,18,0,3044
2016,41,10/10/2016,6.146558503,6.146558503,5.96883,6.31091,52143,3194,11,0,3205
2016,42,10/17/2016,6.189273222,6.189273222,6.06554,6.40737,51460,3178,7,0,3185
2016,43,10/24/2016,6.066389082,6.066389082,6.16933,6.5109,51876,3130,17,0,3147
2016,44,10/31/2016,6.019278691,6.019278691,6.27861,6.61993,51767,3100,16,0,3116
2016,45,11/7/2016,6.141753264,6.141753264,6.39175,6.73282,52542,3208,19,0,3227
2016,46,11/14/2016,5.985335927,5.985335927,6.50703,6.84785,53464,3193,7,0,3200
2016,47,11/21/2016,6.169008257,6.169008257,6.62274,6.96332,53169,3258,22,0,3280
2016,48,11/28/2016,6.500998041,6.500998041,6.73715,7.07747,54607,3516,34,0,3550
2016,49,12/5/2016,6.617846979,6.617846979,6.84853,7.18861,55169,3618,33,0,3651
2016,50,12/12/2016,6.833273831,6.833273831,6.95523,7.29507,56020,3782,46,0,3828
2016,51,12/19/2016,6.750185009,6.750185009,7.05566,7.39526,56754,3739,92,0,3831
2016,52,12/26/2016,7.397450351,7.397450351,7.14831,7.48767,57655,4108,157,0,4265
2017,1,1/2/2017,8.110369292,8.110369292,7.23181,7.57093,59763,4558,289,0,4847
2017,2,1/9/2017,7.991144638,7.991144638,7.30489,7.64377,60980,4505,368,0,4873
2017,3,1/16/2017,8.422579394,8.422579394,7.36646,7.7051,59293,4621,373,0,4994
2017,4,1/23/2017,8.258824746,8.258824746,7.41559,7.75399,58047,4427,367,0,4794
