Date,Value
193301,2.35
193302,3.46
193303,4.05
193304,7.24
193305,2.91
193306,5.22
193307,9.76
193308,6.6
193309,6.86
193310,4.11
193311,1.57
193312,0.68
193401,1.37
193402,3.7
193403,3.26
193404,3.94
193405,6.85
193406,10.18
193407,7.46
193408,5.73
193409,4.67
193410,3.48
193411,1.36
193412,1.03
193501,1.28
193502,2.6
193503,1.2
193504,4.4
193505,3.92
193506,5.72
193507,9.09
193508,8.48
193509,9.8
193510,2.4
193511,1.35
193512,2.46
193601,5.11
193602,6.45
193603,3.01
193604,2.23
193605,4.1
193606,8.71
193607,6.44
193608,6.96
193609,5.08
193610,5.28
193611,1.52
193612,2.88
193701,1.86
193702,4.98
193703,4.23
193704,4.82
193705,3.46
193706,5.87
193707,7.22
193708,8.04
193709,6.88
193710,5.04
193711,4.19
193712,1.11
193801,2.06
193802,1.36
193803,1.87
193804,1.26
193805,4.08
193806,6.51
193807,8.71
193808,4.15
193809,5.83
193810,4.44
193811,1.48
193812,1.14
193901,1.53
193902,2.35
193903,1.44
193904,4.47
193905,4.43
193906,9.1
193907,7.51
193908,10.96
193909,5.69
193910,2.87
193911,1.27
193912,1.94
194001,2.63
194002,4.51
194003,3.47
194004,2.57
194005,2.07
194006,7.09
194007,8.16
194008,6.86
194009,6.55
194010,0.66
194011,1.21
194012,5.89
194101,3.48
194102,3.63
194103,3.97
194104,4.41
194105,1.34
194106,8
194107,10.57
194108,5.44
194109,6.05
194110,5.23
194111,3.17
194112,3.8
194201,3.59
194202,4.55
194203,5.97
194204,2.75
194205,3.44
194206,9.95
194207,5.68
194208,5.9
194209,6.36
194210,1.05
194211,0.76
194212,3.44
194301,1.88
194302,0.89
194303,4.5
194304,2.27
194305,4.63
194306,7.25
194307,8.57
194308,7.29
194309,5.91
194310,2.4
194311,1.78
194312,1.56
194401,2.5
194402,1.54
194403,5.71
194404,4.06
194405,2.9
194406,5.65
194407,9.29
194408,7.91
194409,6.06
194410,5.45
194411,1.36
194412,0.76
194501,3.86
194502,1.32
194503,0.67
194504,3.48
194505,1.8
194506,7.97
194507,10.44
194508,8.37
194509,8.09
194510,3.6
194511,1.08
194512,4.83
194601,2.73
194602,2.76
194603,4.11
194604,1.28
194605,7.48
194606,6.9
194607,9.04
194608,7.16
194609,6.81
194610,2.56
194611,2.47
194612,0.99
194701,2.64
194702,3.48
194703,7.15
194704,4.96
194705,4.79
194706,8.97
194707,8.27
194708,7.25
194709,10.5
194710,6.43
194711,5.72
194712,2.78
194801,5.11
194802,1.05
194803,6.78
194804,4.69
194805,2.49
194806,3.72
194807,10.95
194808,8.11
194809,10.13
194810,4.68
194811,2.81
194812,2.75
194901,0.94
194902,2.57
194903,2.12
194904,4.93
194905,2.27
194906,8
194907,8.44
194908,11.31
194909,7.12
194910,3.41
194911,1.78
194912,2.27
195001,0.38
195002,1.06
195003,3.86
195004,2.98
195005,3.3
195006,3.91
195007,8.24
195008,6.56
195009,7.35
195010,6.61
195011,0.82
195012,2.76
195101,0.9
195102,1.83
195103,3.34
195104,4.31
195105,2.46
195106,4.81
195107,8.14
195108,5.91
195109,7.19
195110,4.58
195111,4.27
195112,2.59
195201,1.15
195202,5.83
195203,3.82
195204,2.31
195205,3.97
195206,3.49
195207,5.65
195208,8.07
195209,6.37
195210,6.26
195211,1.18
195212,1.43
195301,3.25
195302,3.27
195303,2.99
195304,6.54
195305,1.4
195306,7.95
195307,7.36
195308,9.68
195309,10.39
195310,5.04
195311,3.48
195312,5.98
195401,0.96
195402,2
195403,2.49
195404,3.66
195405,4.38
195406,5.71
195407,7.63
195408,4.67
195409,6.33
195410,2.85
195411,2.45
195412,1.88
195501,2.74
195502,2.04
195503,1.55
195504,2.57
195505,3.08
195506,6.46
195507,7.13
195508,5.38
195509,6.01
195510,2.92
195511,1.21
195512,1.31
195601,2.36
195602,2.56
195603,1.36
195604,2.69
195605,3.73
195606,5.2
195607,6.04
195608,5.61
195609,6.26
195610,6.66
195611,0.55
195612,0.92
195701,1.11
195702,3.01
195703,4.63
195704,4.79
195705,6.4
195706,7.46
195707,7.77
195708,7.49
195709,10.19
195710,3.2
195711,2.77
195712,2.62
195801,5.37
195802,3.19
195803,6.29
195804,4.53
195805,5.31
195806,6.11
195807,6.72
195808,5.75
195809,3.86
195810,4.36
195811,2.15
195812,3.59
195901,3.67
195902,3.57
195903,8.62
195904,3.89
195905,6.65
195906,8.52
195907,7.94
195908,7.39
195909,7.92
195910,8.62
195911,2.29
195912,1.72
196001,1.88
196002,5.06
196003,6.34
196004,4.46
196005,2.81
196006,6.84
196007,10.57
196008,6.53
196009,11.93
196010,4.03
196011,1.02
196012,1.69
196101,3.39
196102,3.33
196103,2.64
196104,2.96
196105,3.89
196106,5.8
196107,5.5
196108,8.66
196109,2.77
196110,1.47
196111,1.93
196112,2.05
196201,1.89
196202,1.49
196203,3.91
196204,2.94
196205,2.07
196206,8.21
196207,6.59
196208,7.1
196209,8.03
196210,1.93
196211,3.01
196212,1.47
196301,3.29
196302,5.3
196303,1.69
196304,0.91
196305,4.8
196306,6.84
196307,6.28
196308,5.36
196309,7.7
196310,1.11
196311,4.16
196312,3.59
196401,5.79
196402,5.4
196403,3.24
196404,4.47
196405,3.13
196406,5.62
196407,8.8
196408,8.31
196409,7.85
196410,4.44
196411,2.08
196412,4.32
196501,1.82
196502,4.67
196503,4.02
196504,2.54
196505,0.88
196506,9.62
196507,8.44
196508,6.9
196509,6.66
196510,4.77
196511,1.61
196512,2.76
196601,5.21
196602,5.81
196603,1.92
196604,2.38
196605,5.88
196606,8.8
196607,6.89
196608,7.46
196609,7.07
196610,3.25
196611,0.98
196612,1.95
196701,2.89
196702,4.28
196703,1.18
196704,0.38
196705,2.21
196706,8.71
196707,7.47
196708,8.33
196709,4.4
196710,3.07
196711,0.94
196712,3.83
196801,1.16
196802,2.47
196803,1.6
196804,0.98
196805,6.01
196806,9.85
196807,7.79
196808,7.28
196809,5.17
196810,5.09
196811,2.84
196812,2.02
196901,1.97
196902,3.11
196903,5.86
196904,1.68
196905,5.09
196906,6.01
196907,8.2
196908,8.3
196909,7.73
196910,5.85
196911,2.22
196912,4.39
197001,4.05
197002,4.32
197003,7.81
197004,1.54
197005,4.49
197006,6
197007,5.96
197008,8.29
197009,4.35
197010,4.02
197011,0.77
197012,1.51
197101,1.72
197102,4.16
197103,2.2
197104,1.76
197105,3.28
197106,5.65
197107,7.25
197108,7.65
197109,5.09
197110,4.82
197111,1.96
197112,3.08
197201,3.02
197202,4.19
197203,4.59
197204,2.19
197205,5.05
197206,8.31
197207,4.57
197208,7.09
197209,2.29
197210,2.6
197211,5.05
197212,3.13
197301,4.7
197302,3.26
197303,5.38
197304,4.63
197305,4.04
197306,5.86
197307,7.28
197308,7.28
197309,6.62
197310,1.79
197311,1.59
197312,3.99
197401,1.66
197402,1.92
197403,2.51
197404,1.74
197405,3.96
197406,9.8
197407,8.16
197408,7.07
197409,6.56
197410,1.07
197411,1.43
197412,2.62
197501,3.32
197502,2.57
197503,2.35
197504,3.4
197505,5.58
197506,6.33
197507,9.71
197508,5.9
197509,7.28
197510,4.94
197511,1.62
197512,2.15
197601,2.13
197602,1.46
197603,2.48
197604,2.02
197605,8.84
197606,6.98
197607,5.08
197608,6.35
197609,5.79
197610,3.2
197611,3.77
197612,3.53
197701,3.5
197702,2.42
197703,2.03
197704,1.1
197705,3.3
197706,4.47
197707,6.07
197708,8.55
197709,6.95
197710,1.43
197711,3.58
197712,4.6
197801,4.35
197802,4.06
197803,4.05
197804,2.11
197805,5.44
197806,6.59
197807,8.99
197808,6.34
197809,3.63
197810,2.16
197811,1.7
197812,3.91
197901,6.59
197902,3.06
197903,1.99
197904,4.37
197905,6.85
197906,3.95
197907,7.13
197908,6.97
197909,12.17
197910,1.31
197911,2.74
197912,2.73
198001,3.85
198002,1.87
198003,4.94
198004,4.81
198005,4.59
198006,4.9
198007,7.22
198008,4.97
198009,4.61
198010,3.2
198011,3.52
198012,0.81
198101,0.87
198102,4.61
198103,3.16
198104,0.49
198105,2.43
198106,5.49
198107,5.6
198108,9.74
198109,4.78
198110,1.95
198111,2.4
198112,2.95
198201,2.71
198202,3.66
198203,5.26
198204,5.24
198205,4.99
198206,9.95
198207,8.27
198208,6.09
198209,6.67
198210,3.29
198211,2.25
198212,2.94
198301,3.98
198302,7.51
198303,6.8
198304,4.86
198305,1.95
198306,8.66
198307,4.92
198308,5.94
198309,6.63
198310,4.26
198311,3.51
198312,5.87
198401,1.98
198402,3.84
198403,4.55
198404,4.32
198405,5.12
198406,4.76
198407,9.29
198408,5.24
198409,5.13
198410,1.41
198411,3.03
198412,0.67
198501,1.84
198502,1.67
198503,2.44
198504,2.73
198505,2.68
198506,6.61
198507,7.82
198508,9.54
198509,6.52
198510,4.69
198511,2.93
198512,2.87
198601,4.31
198602,3.81
198603,4.31
198604,0.6
198605,2.33
198606,7.27
198607,5.75
198608,8.11
198609,4.14
198610,4.07
198611,3.25
198612,4.41
198701,4.43
198702,4.01
198703,8.23
198704,0.4
198705,4.23
198706,5.38
198707,5.73
198708,5.2
198709,5.57
198710,2.48
198711,6.14
198712,1.01
198801,4.04
198802,4.03
198803,4.97
198804,1.7
198805,2.62
198806,4.55
198807,7.25
198808,8.51
198809,8.27
198810,1.77
198811,3.55
198812,1.28
198901,1.85
198902,1.06
198903,3.24
198904,2.71
198905,2.73
198906,8.56
198907,6.72
198908,5.63
198909,6.64
198910,3.23
198911,2.44
198912,3.89
199001,2.1
199002,3.9
199003,2.7
199004,2.48
199005,2.88
199006,5.63
199007,6.75
199008,6.33
199009,3.48
199010,3.77
199011,1.19
199012,1.4
199101,8.03
199102,1.53
199103,6.97
199104,5.4
199105,7.37
199106,7.61
199107,9.47
199108,6.38
199109,4.1
199110,3.52
199111,1.18
199112,1.05
199201,3.67
199202,4.1
199203,3.24
199204,2.84
199205,1.86
199206,11.58
199207,4.75
199208,9.4
199209,5.13
199210,3.57
199211,4.79
199212,1.25
199301,6.27
199302,3.23
199303,5.1
199304,2.23
199305,2.52
199306,4.61
199307,5.45
199308,5.13
199309,5.46
199310,5.99
199311,1.87
199312,2.05
199401,5.82
199402,2.39
199403,3.67
199404,3.38
199405,2.7
199406,8.93
199407,7.96
199408,8.32
199409,8.2
199410,6.17
199411,3.87
199412,3.37
199501,3.34
199502,2.13
199503,3.38
199504,3.68
199505,3.38
199506,8.64
199507,7.48
199508,9.55
199509,5.75
199510,7.54
199511,2.62
199512,1.61
199601,3.43
199602,1.99
199603,7.21
199604,3.07
199605,3.86
199606,7.09
199607,5.19
199608,6.92
199609,5.11
199610,5.93
199611,1.12
199612,3.04
199701,3.08
199702,2.35
199703,2.59
199704,6.01
199705,3.53
199706,7.06
199707,7.29
199708,6.13
199709,5.53
199710,3.62
199711,5.2
199712,7.26
199801,4.59
199802,8.44
199803,6.02
199804,1.22
199805,1.79
199806,2.23
199807,7.59
199808,6.65
199809,11.92
199810,1.9
199811,3.19
199812,1.51
199901,4.06
199902,1.26
199903,1.69
199904,1.62
199905,3.8
199906,9.48
199907,5.32
199908,6.91
199909,6.72
199910,4.86
199911,2.15
199912,1.82
200001,2.21
200002,1.08
200003,2.56
200004,2.1
200005,0.91
200006,5.72
200007,6.45
200008,5.28
200009,8.48
200010,1.86
200011,2.02
200012,1.62
200101,1.27
200102,0.72
200103,6.52
200104,0.99
200105,2.35
200106,8.17
200107,9.4
200108,6.74
200109,10.41
200110,2.72
200111,1.57
200112,1.35
200201,3
200202,2.68
200203,2.7
200204,2.41
200205,2.36
200206,10.19
200207,7.61
200208,7.37
200209,6.63
200210,3.72
200211,3.64
200212,6.18
200301,1.5
200302,3.79
200303,6.47
200304,2.86
200305,4.25
200306,10.7
200307,7.25
200308,8.6
200309,5.96
