OBJECTID,STATUS,COUNTY,NAME,BEGINNING_RANGE,ENDING_RANGE,STATE_PLANE_ZONE,COMMENTS,SHAPELEN
149,Critical,Collier,South of Wiggins Pass,R016.8,R017.3,West,,247.190973879387
150,Critical,Collier,Vanderbilt Beach Estates,R022.3,R030.5,West,,2521.80293680216
151,Critical,Collier,North of Doctor's Pass,R042,R057.5,West,,4814.20148496467
152,Critical,Collier,South of Doctor's Pass,R057.8,R089,West,,9006.5275001209
153,Noncritical,Collier,Keewaydin Island,R090,R111,West,,6243.18758194745
154,Noncritical,Collier,Sea Oat Island,V303,V308,West,,1508.68970166685
155,Critical Inlet,Collier,Big Marco Pass,V311,V316,West,,1263.78817620324
156,Critical,Collier,Marco Island,R134.5,R139,West,,1177.14728268466
157,Critical,Collier,Marco Island,R143,R148,West,,1500.67280719683
158,Critical,Collier,Kice Island,V323,V331.4,West,,2515.97789291372
159,Critical,Collier,Morgan Island,V333.8,V341.8,West,,2659.8558977734
160,Noncritical,Collier,Morgan Island,V341.9,V343.5,West,,784.182786941852
161,Critical,Monroe,"Sea Oats Beach, Lower Matecumbe Key",V344.5,V346,South,,1948.16338385499
162,Critical,Monroe,Long Key,V352,V353,South,,3174.79177199091
163,Critical,Monroe,"Curry Hammock, Little Crawl Key",V363,V364,South,,489.775753509509
164,Critical,Monroe,Coco Plum Beach,V364,V365,South,,2284.07719777775
165,Critical,Monroe,Key Colony Beach,V366,V367,South,,1360.32024923826
166,Critical,Monroe,"Sombrero Beach, Vaca Key",V371,V372,South,,760.940911633336
167,Critical,Monroe,Little Duck Key,V381,V382,South,,372.967393152809
168,Critical,Monroe,Bahia Honda State Park,V383,V385,South,,3253.00913552701
169,Critical,Monroe,"Long Beach, Big Pine Key",V388,V390,South,,1689.53350488309
170,Critical,Monroe,Boca Chica Key,V407,V409,South,,1358.10466363002
171,Critical,Monroe,Key West,V412,V414,South,,5224.60578911934
172,Critical,Monroe,Fort Zachary Taylor,V415,V415,South,,489.574127416267
173,Critical Inlet,Nassau,Amelia Island St. Mary's Inlet,R001,R009,East,,3192.22096333794
174,Critical,Nassau,Amelia Island,R009,R033,East,,7043.01828799949
175,Critical,Nassau,Amelia Island,R060,R080,East,,7067.45120673564
176,Noncritical Inlet,Duval,"Big Talbot Island, Nassau Sound",R001,R001,East,,3316.34547286383
177,Critical,Duval,Little Talbot Island,R021,R023,East,,431.673121262293
178,Critical Inlet,Duval,Little Talbot Island,R023,A1A,East,,1375.27894974721
179,Critical,Duval,All beaches south of the river,V501,R080,East,,16238.5455099213
180,Critical,St. Johns,Ponte Vedra Beach,R026,R031,East,,1631.53535447535
